cod_produto;produto;ano;litros
vinho_de_mesa;VINHO DE MESA;1970;98327606
vinho_mesa_tinto;TINTO;1970;83300735
vinho_mesa_rosado;ROSADO;1970;107681
vinho_mesa_branco;BRANCO;1970;14919190
vinho__fino_de_mesa;VINHO  FINO DE MESA;1970;4430629
vinho_mesa_tinto;TINTO;1970;435354
vinho_mesa_rosado;ROSADO;1970;183234
vinho_mesa_branco;BRANCO;1970;3812041
vinho_frizante;VINHO FRIZANTE;1970;466480
vinho_organico;VINHO ORGÂNICO;1970;0
vinho_especial;VINHO ESPECIAL;1970;7325789
vinho_especial_tinto;TINTO;1970;4730346
vinho_especial_rosado;ROSADO;1970;1229564
vinho_especial_branco;BRANCO;1970;1365879
espumantes_;ESPUMANTES;1970;2743678
espumante_moscatel;ESPUMANTE  MOSCATEL;1970;0
espumante;ESPUMANTE;1970;0
espumante_organico;ESPUMANTE ORGÂNICO;1970;0
suco_de_uvas;SUCO DE UVAS;1970;2626855
suco_natural;SUCO NATURAL INTEGRAL;1970;0
suco_adocado;SUCO ADOÇADO;1970;0
suco_reprocessado;SUCO REPROCESSADO/RECONSTITUIDO;1970;0
suco_organico;SUCO ORGÂNICO;1970;0
outros_sucos;OUTROS SUCOS DE UVAS;1970;0
suco_de_uvas_concentrado;SUCO DE UVAS CONCENTRADO;1970;0
;OUTROS PRODUTOS COMERCIALIZADOS;1970;19844550
outro_outros_vinhos_sem_informdetalhada;OUTROS VINHOS (SEM INFORMAÇÃO DETALHADA);1970;0
outro_agrin;AGRIN (FERMENTADO, ACETICO MISTO);1970;0
outro_aguardente;AGUARDENTE DE VINHO 50°GL;1970;0
outro_alcool_vinico;ALCOOL VINICO;1970;0
outro_bagaceira;BAGACEIRA (GRASPA);1970;1192987
outro_base_champenoise;BASE CHAMPENOISE CHAMPANHA;1970;0
outro_base_charmat;BASE CHARMAT CHAMPANHA;1970;0
outro_base_espumante;BASE ESPUMANTE MOSCATEL;1970;0
outro_bebida;BEBIDA DE UVA;1970;0
outro_borra_liqwuida;BORRA LÍQUIDA;1970;0
outro_borra_seca;BORRA SECA;1970;0
outro_brandy;BRANDY (CONHAQUE);1970;9388296
outro_cooler;COOLER;1970;0
outro_coquetel;COQUETEL COM VINHO;1970;0
outro_destilado;DESTILADO DE VINHO;1970;533987
outro_filtrado_doce;FILTRADO DOCE;1970;346403
outro_jeropiga;JEROPIGA;1970;0
outro_mistelas;MISTELAS;1970;178350
outro_mosto_concentrado;MOSTO CONCENTRADO;1970;44971
