cod_produto;produto;ano;litros
vinho_de_mesa;VINHO DE MESA;1970;217208604
vinho_mesa_tinto;TINTO;1970;174224052
vinho_mesa_branco;BRANCO;1970;748400
vinho_mesa_rosado;ROSADO;1970;42236152
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1970;23899346
vinho_viniferas_tinto;TINTO;1970;7591557
vinho_viniferas_branco;BRANCO;1970;15562889
vinho_viniferas_rosado;ROSADO;1970;744900
suco;SUCO;1970;1097771
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1970;1097771
suco_concentrado;SUCO DE UVA CONCENTRADO;1970;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1970;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1970;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1970;0
derivados;DERIVADOS;1970;14164329
derivados_espumante;ESPUMANTE;1970;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1970;0
derivados_base_espumante;BASE ESPUMANTE;1970;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1970;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1970;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1970;0
derivados_bebida_de_uva;BEBIDA DE UVA;1970;0
derivados_polpa_de_uva;POLPA DE UVA;1970;0
derivados_mosto_simples;MOSTO SIMPLES;1970;7170736
derivados_mosto_concentrado;MOSTO CONCENTRADO;1970;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1970;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1970;0
derivados_mistelas;MISTELAS;1970;1072100
derivados_nectar_de_uva;NÉCTAR DE UVA;1970;0
derivados_licorosos;LICOROSOS;1970;282500
derivados_compostos;COMPOSTOS;1970;0
derivados_jeropiga;JEROPIGA;1970;0
derivados_filtrado;FILTRADO;1970;0
derivados_frisante;FRISANTE;1970;0
derivados_vinho_leve;VINHO LEVE;1970;0
derivados_vinho_licoroso;VINHO LICOROSO;1970;0
derivados_brandy;BRANDY;1970;0
derivados_destilado;DESTILADO;1970;830030
derivados_bagaceira;BAGACEIRA;1970;961290
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1970;0
derivados_vinagre;VINAGRE;1970;0
derivados_borra_liquida;BORRA LÍQUIDA;1970;3847673
