cod_produto;produto;ano;litros
vinho_de_mesa;vinho_de_mesa;1970;98327606
vinho_mesa_tinto;__tinto;1970;83300735
vinho_mesa_rosado;__rosado;1970;107681
vinho_mesa_branco;__branco;1970;14919190
vinho__fino_de_mesa;vinho__fino_de_mesa;1970;4430629
vinho_mesa_tinto;__tinto;1970;435354
vinho_mesa_rosado;__rosado;1970;183234
vinho_mesa_branco;__branco;1970;3812041
vinho_frizante;vinho_frizante;1970;466480
vinho_organico;vinho_organico;1970;0
vinho_especial;vinho_especial;1970;7325789
vinho_especial_tinto;__tinto;1970;4730346
vinho_especial_rosado;__rosado;1970;1229564
vinho_especial_branco;__branco;1970;1365879
espumantes_;espumantes_;1970;2743678
espumante_moscatel;__espumante__moscatel;1970;0
espumante;__espumante;1970;0
espumante_organico;__espumante_organico;1970;0
suco_de_uvas;suco_de_uvas;1970;2626855
suco_natural;__suco_natural_integral;1970;0
suco_adocado;__suco_adocado;1970;0
suco_reprocessado;__suco_reprocessado/reconstituido;1970;0
suco_organico;__suco_organico;1970;0
outros_sucos;__outros_sucos_de_uvas;1970;0
suco_de_uvas_concentrado;suco_de_uvas_concentrado;1970;0
nan;outros_produtos_comercializados;1970;19844550
outro_outros_vinhos_sem_informdetalhada;__outros_vinhos_sem_informacão_detalhada;1970;0
outro_agrin;__agrin_fermentado,_acetico_misto;1970;0
outro_aguardente;__aguardente_de_vinho_50°gl;1970;0
outro_alcool_vinico;__alcool_vinico;1970;0
outro_bagaceira;__bagaceira_graspa;1970;1192987
outro_base_champenoise;__base_champenoise_champanha;1970;0
outro_base_charmat;__base_charmat_champanha;1970;0
outro_base_espumante;__base_espumante_moscatel;1970;0
outro_bebida;__bebida_de_uva;1970;0
outro_borra_liqwuida;__borra_liquida;1970;0
outro_borra_seca;__borra_seca;1970;0
outro_brandy;__brandy_conhaque;1970;9388296
outro_cooler;__cooler;1970;0
outro_coquetel;__coquetel_com_vinho;1970;0
outro_destilado;__destilado_de_vinho;1970;533987
outro_filtrado_doce;__filtrado_doce;1970;346403
outro_jeropiga;__jeropiga;1970;0
outro_mistelas;__mistelas;1970;178350
outro_mosto_concentrado;__mosto_concentrado;1970;44971
outro_mosto_uva;__mosto_de_uva;1970;0
outro_mosto_sulfitado;__mosto_sulfitado;1970;401030
outro_nectar;__nectar_de_uva;1970;0
outro_outros_produtos;__outros_produtos;1970;0
outro_polpa;__polpa_de_uva;1970;0
outro_preparado_liquido;__preparado_liquido_para_refresco;1970;0
