pais;ano;quantidade_valor;quantidade_kg;type
africa do sul;1970;0.0;0;importacao_vinhos_de_mesa
alemanha;1970;30498.0;52297;importacao_vinhos_de_mesa
argelia;1970;0.0;0;importacao_vinhos_de_mesa
arabia saudita;1970;0.0;0;importacao_vinhos_de_mesa
argentina;1970;12260.0;19525;importacao_vinhos_de_mesa
armênia;1970;0.0;0;importacao_vinhos_de_mesa
australia;1970;0.0;0;importacao_vinhos_de_mesa
austria;1970;707.0;1328;importacao_vinhos_de_mesa
bermudas;1970;nan;0;importacao_vinhos_de_mesa
belgica;1970;0.0;0;importacao_vinhos_de_mesa
bolivia;1970;0.0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1970;0.0;0;importacao_vinhos_de_mesa
brasil;1970;0.0;0;importacao_vinhos_de_mesa
bulgaria;1970;0.0;0;importacao_vinhos_de_mesa
canada;1970;0.0;0;importacao_vinhos_de_mesa
chile;1970;101819.0;162370;importacao_vinhos_de_mesa
china;1970;0.0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1970;0.0;0;importacao_vinhos_de_mesa
croacia;1970;0.0;0;importacao_vinhos_de_mesa
cuba;1970;0.0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1970;0.0;0;importacao_vinhos_de_mesa
eslovênia;1970;0.0;0;importacao_vinhos_de_mesa
eslovaquia;1970;0.0;0;importacao_vinhos_de_mesa
espanha;1970;90159.0;261126;importacao_vinhos_de_mesa
estados unidos;1970;0.0;0;importacao_vinhos_de_mesa
franca;1970;78135.0;91544;importacao_vinhos_de_mesa
georgia;1970;0.0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1970;0.0;0;importacao_vinhos_de_mesa
grecia;1970;0.0;0;importacao_vinhos_de_mesa
hong kong;1970;0.0;0;importacao_vinhos_de_mesa
hungria;1970;0.0;0;importacao_vinhos_de_mesa
ionesia;1970;0.0;0;importacao_vinhos_de_mesa
irlaa;1970;0.0;0;importacao_vinhos_de_mesa
israel;1970;0.0;0;importacao_vinhos_de_mesa
italia;1970;32376.0;58802;importacao_vinhos_de_mesa
japao;1970;0.0;0;importacao_vinhos_de_mesa
iugoslavia;1970;326.0;702;importacao_vinhos_de_mesa
libano;1970;0.0;0;importacao_vinhos_de_mesa
luxemburgo;1970;0.0;0;importacao_vinhos_de_mesa
macedonia;1970;0.0;0;importacao_vinhos_de_mesa
marrocos;1970;0.0;0;importacao_vinhos_de_mesa
mexico;1970;0.0;0;importacao_vinhos_de_mesa
