control;ano;quantidade_kg;type
tintas;1970;10448228;processamento_viniferas
tintas_alicantebouschet;1970;0;processamento_viniferas
tintas_ancelota;1970;0;processamento_viniferas
tintas_aramon;1970;0;processamento_viniferas
tintas_alfrocheiro;1970;0;processamento_viniferas
tintas_arinarnoa;1970;0;processamento_viniferas
tintas_aspirantbouschet;1970;0;processamento_viniferas
tintas_barbera;1970;4548313;processamento_viniferas
tintas_bonarda;1970;1631610;processamento_viniferas
tintas_cabernetfranc;1970;238837;processamento_viniferas
tintas_cabernetsauvignon;1970;0;processamento_viniferas
tintas_caladoc;1970;0;processamento_viniferas
tintas_campanario;1970;0;processamento_viniferas
tintas_canaiolo;1970;596766;processamento_viniferas
tintas_carignan;1970;0;processamento_viniferas
tintas_carmenere;1970;1235;processamento_viniferas
tintas_castelao;1970;0;processamento_viniferas
tintas_corvina;1970;0;processamento_viniferas
tintas_croatina;1970;0;processamento_viniferas
tintas_cinsaut;1970;0;processamento_viniferas
tintas_domfelder;1970;0;processamento_viniferas
tintas_dolcetto;1970;0;processamento_viniferas
tintas_durif;1970;0;processamento_viniferas
tintas_egiodola;1970;0;processamento_viniferas
tintas_ekigaina;1970;0;processamento_viniferas
tintas_festival_sugraone;1970;0;processamento_viniferas
tintas_franconia;1970;0;processamento_viniferas
tintas_freisa;1970;1661;processamento_viniferas
tintas_gamaystromain;1970;0;processamento_viniferas
tintas_gamaybeaujolais;1970;0;processamento_viniferas
tintas_granoir;1970;0;processamento_viniferas
tintas_grenache;1970;19753;processamento_viniferas
tintas_jaen;1970;0;processamento_viniferas
tintas_lagrein;1970;0;processamento_viniferas
tintas_lambrusco;1970;2259;processamento_viniferas
tintas_malbec;1970;4097;processamento_viniferas
tintas_marzemina;1970;62546;processamento_viniferas
tintas_merlot;1970;185596;processamento_viniferas
tintas_marselan;1970;0;processamento_viniferas
tintas_misturadeuvasviniferastinto;1970;0;processamento_viniferas
tintas_molinera;1970;0;processamento_viniferas
tintas_montepulciano;1970;0;processamento_viniferas
tintas_moscatobailey;1970;0;processamento_viniferas
tintas_napagamay;1970;0;processamento_viniferas
tintas_nebbiolo;1970;0;processamento_viniferas
tintas_petitverdot;1970;0;processamento_viniferas
tintas_petitesirah;1970;0;processamento_viniferas
tintas_pinotage;1970;0;processamento_viniferas
tintas_pinotnoir;1970;0;processamento_viniferas
tintas_pinotsaintgeorge;1970;0;processamento_viniferas
tintas_piriquita;1970;0;processamento_viniferas
tintas_primitivo;1970;0;processamento_viniferas
tintas_rebo;1970;0;processamento_viniferas
tintas_refosco;1970;0;processamento_viniferas
tintas_roinella;1970;0;processamento_viniferas
tintas_rubycabernet;1970;0;processamento_viniferas
tintas_sangiovese;1970;27566;processamento_viniferas
tintas_saperavi;1970;0;processamento_viniferas
tintas_sira_falsa;1970;3127989;processamento_viniferas
tintas_tannat;1970;0;processamento_viniferas
tintas_tempranillo;1970;0;processamento_viniferas
tintas_teroldego;1970;0;processamento_viniferas
tintas_torrontes;1970;0;processamento_viniferas
tintas_tintabarroca;1970;0;processamento_viniferas
tintas_tintaroriz;1970;0;processamento_viniferas
tintas_tourigafrancesa;1970;0;processamento_viniferas
tintas_touriganacional;1970;0;processamento_viniferas
tintas_tintamadeira;1970;0;processamento_viniferas
tintas_tintoria;1970;0;processamento_viniferas
tintas_trincdeira;1970;0;processamento_viniferas
tintas_trousseau;1970;0;processamento_viniferas
tintas_zinfael;1970;0;processamento_viniferas
tintas_outras1;1970;0;processamento_viniferas
brancaserosadas;1970;18858541;processamento_viniferas
brancaserosadas_aliatico;1970;0;processamento_viniferas
brancaserosadas_aligote;1970;530;processamento_viniferas
brancaserosadas_altesse;1970;0;processamento_viniferas
brancaserosadas_alvarinho;1970;0;processamento_viniferas
