cod_produto;produto;ano;litros
vinho_de_mesa;vinho_de_mesa;1970;217208604
vinho_mesa_tinto;tinto;1970;174224052
vinho_mesa_branco;branco;1970;748400
vinho_mesa_rosado;rosado;1970;42236152
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1970;23899346
vinho_viniferas_tinto;tinto;1970;7591557
vinho_viniferas_branco;branco;1970;15562889
vinho_viniferas_rosado;rosado;1970;744900
suco;suco;1970;1097771
suco_de_uva_simples;suco_de_uva_integral;1970;1097771
suco_concentrado;suco_de_uva_concentrado;1970;0
suco_de_uva_adocado;suco_de_uva_adocado;1970;0
suco_de_uva_organico;suco_de_uva_organico;1970;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1970;0
derivados;derivados;1970;14164329
derivados_espumante;espumante;1970;0
derivados_espumante_moscatel;espumante_moscatel;1970;0
derivados_base_espumante;base_espumante;1970;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1970;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1970;0
derivados_base_charmat_champanha;base_charmat_champanha;1970;0
derivados_bebida_de_uva;bebida_de_uva;1970;0
derivados_polpa_de_uva;polpa_de_uva;1970;0
derivados_mosto_simples;mosto_simples;1970;7170736
derivados_mosto_concentrado;mosto_concentrado;1970;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1970;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1970;0
derivados_mistelas;mistelas;1970;1072100
derivados_nectar_de_uva;nectar_de_uva;1970;0
derivados_licorosos;licorosos;1970;282500
derivados_compostos;compostos;1970;0
derivados_jeropiga;jeropiga;1970;0
derivados_filtrado;filtrado;1970;0
derivados_frisante;frisante;1970;0
derivados_vinho_leve;vinho_leve;1970;0
derivados_vinho_licoroso;vinho_licoroso;1970;0
derivados_brandy;brandy;1970;0
derivados_destilado;destilado;1970;830030
derivados_bagaceira;bagaceira;1970;961290
derivados_licor_de_bagaceira;licor_de_bagaceira;1970;0
derivados_vinagre;vinagre;1970;0
derivados_borra_liquida;borra_liquida;1970;3847673
derivados_borra_seca;borra_seca;1970;0
derivados_vinho_composto;vinho_composto;1970;0
derivados_pisco;pisco;1970;0
derivados_vinho_organico;vinho_organico;1970;0
derivados_espumante_organico;espumante_organico;1970;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1970;0
